,DATE_REPORTED,DATE_OCCURRED,TIME_OCCURRED,PATROL_DIVISION,AREA_NAME,CRIME_CODE,CRIME_DESCRIPTION,VICTIM_AGE,VICTIM_SEX,VICTIM_RACE,PREMISE,LAT,LON
98,2007-06-28,2007-06-28,14:30:00,40.0,BRONX,107,BURGLARY,,D,UNKNOWN,COMMERCIAL BUILDING,40.809235457,-73.910530216
99,2006-04-19,2006-03-23,17:00:00,43.0,BRONX,361,OFF. AGNST PUB ORD SENSBLTY &,45-64,F,WHITE HISPANIC,RESIDENCE-HOUSE,,
100,2006-04-09,2006-04-09,18:30:00,73.0,BROOKLYN,106,FELONY ASSAULT,<18,M,BLACK,STREET,,
101,2010-02-20,2010-02-20,1350,13.0,Newton,900,VIOLATION OF COURT ORDER,48,M,H,SINGLE FAMILY DWELLING,33.9825,-118.2695
102,2010-09-13,2010-09-12,45,14.0,Pacific,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,M,W,STREET,33.9599,-118.3962
103,2010-08-09,2010-08-09,1515,13.0,Newton,946,OTHER MISCELLANEOUS CRIME,0,M,H,ALLEY,34.0224,-118.2524
104,2010-01-05,2010-01-05,150,6.0,Hollywood,900,VIOLATION OF COURT ORDER,47,F,W,STREET,34.1016,-118.3295
105,2010-01-03,2010-01-02,2100,1.0,Central,122,"RAPE, ATTEMPTED",47,F,H,ALLEY,34.0387,-118.2488
106,2010-01-05,2010-01-04,1650,1.0,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),23,M,B,DEPARTMENT STORE,34.048,-118.2577
107,2010-01-08,2010-01-07,2005,1.0,Central,330,BURGLARY FROM VEHICLE,46,M,H,STREET,34.0389,-118.2643
108,2010-01-09,2010-01-08,2100,1.0,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",51,M,B,OTHER PREMISE,34.0435,-118.2427
109,2010-01-09,2010-01-09,230,1.0,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",30,M,H,PARKING LOT,34.045,-118.264
110,2010-01-09,2010-01-06,2100,1.0,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",55,M,W,OTHER PREMISE,34.0538,-118.2488
